Unnamed: 0,Num,case_filed,city,area,crime_description,age,sex,weapon,domain,police_department,closed
19794,19795,04-04-2022 18:00,Mumbai,307,VEHICLE - STOLEN,63.0,X,Poison,Violent Crime,12.0,No
13762,13763,07-27-2021 10:00,Surat,504,ROBBERY,57.0,F,Explosives,Violent Crime,3.0,No
30311,30312,06-16-2023 23:00,Thane,493,ASSAULT,33.0,F,Firearm,Violent Crime,18.0,No
5043,5044,07-29-2020 03:00,Ahmedabad,169,PUBLIC INTOXICATION,76.0,F,Knife,Other Crime,3.0,No
35008,35009,12-29-2023 16:00,Mumbai,133,PUBLIC INTOXICATION,13.0,M,,Other Crime,13.0,No
36200,36201,02-17-2024 08:00,Chennai,258,VEHICLE - STOLEN,61.0,M,Poison,Violent Crime,4.0,No
18270,18271,01-31-2022 06:00,Mumbai,555,VANDALISM,51.0,X,Knife,Other Crime,2.0,No
30147,30148,06-10-2023 03:00,Visakhapatnam,464,DRUG OFFENSE,51.9,F,,Other Crime,10.9,No
18144,18145,01-26-2022 00:00,Kolkata,513,FIREARM OFFENSE,69.9,M,Knife,Fire Accident,30.9,No
3343,3344,05-19-2020 07:00,Meerut,534,DRUG OFFENSE,70.0,F,Knife,Other Crime,14.0,No
30093,30094,06-07-2023 21:00,Chennai,209,PUBLIC INTOXICATION,32.0,F,Explosives,Other Crime,3.0,No
28545,28546,04-04-2023 09:00,Lucknow,339,DOMESTIC VIOLENCE,17.9,X,Poison,Violent Crime,-0.1000000000000005,Yes
37389,37390,04-06-2024 21:00,Bangalore,365,DRUG OFFENSE,29.0,M,Other,Other Crime,6.0,No
18073,18074,01-23-2022 01:00,Surat,519,CYBERCRIME,36.0,F,Explosives,Other Crime,15.0,No
38372,38373,05-17-2024 20:00,Jaipur,137,ARSON,75.0,F,Blunt Object,Fire Accident,8.0,No
32213,32214,09-04-2023 05:00,Bangalore,299,SEXUAL ASSAULT,44.0,F,,Violent Crime,10.0,No
1175,1176,02-18-2020 23:00,Visakhapatnam,119,EXTORTION,10.0,F,Blunt Object,Other Crime,3.0,No
1578,1579,03-06-2020 18:00,Pune,178,ASSAULT,20.0,F,Explosives,Violent Crime,5.0,Yes
3463,3464,05-24-2020 07:00,Indore,320,EXTORTION,63.0,M,Other,Other Crime,11.0,Yes
24260,24261,10-07-2022 20:00,Jaipur,265,COUNTERFEITING,15.0,M,Explosives,Other Crime,4.0,No
5056,5057,07-29-2020 16:00,Pune,145,TRAFFIC VIOLATION,59.0,F,Firearm,Traffic Fatality,15.0,Yes
18406,18407,02-05-2022 22:00,Hyderabad,490,ARSON,44.900000000000006,X,Firearm,Fire Accident,41.900000000000006,Yes
31549,31550,08-07-2023 13:00,Bangalore,369,SEXUAL ASSAULT,43.0,M,,Violent Crime,17.0,Yes
6511,6512,09-28-2020 07:00,Thane,287,ROBBERY,55.0,F,Knife,Violent Crime,19.0,Yes
21513,21514,06-15-2022 09:00,Bangalore,281,ASSAULT,69.0,F,Blunt Object,Violent Crime,5.0,Yes
26556,26557,01-11-2023 12:00,Pune,390,DOMESTIC VIOLENCE,65.0,F,Other,Violent Crime,7.0,Yes
23849,23850,09-20-2022 17:00,Nagpur,197,VEHICLE - STOLEN,15.0,F,Firearm,Violent Crime,17.0,Yes
34820,34821,12-21-2023 20:00,Delhi,299,SEXUAL ASSAULT,35.0,F,Poison,Violent Crime,11.0,No
27034,27035,01-31-2023 10:00,Meerut,536,PUBLIC INTOXICATION,33.0,M,Firearm,Other Crime,18.0,No
14642,14643,09-02-2021 02:00,Delhi,572,BURGLARY,52.0,F,Blunt Object,Other Crime,3.0,Yes
38678,38679,05-30-2024 14:00,Ahmedabad,142,CYBERCRIME,25.0,M,Firearm,Other Crime,13.0,No
